index,trading_date,total_turnover,basis_spread,volume,low,close,open,limit_up,limit_down,open_interest,high
2014-12-02 10:00:00,2014-12-02,1392680000.0,,28862.0,481.687,482.969,483.688,496.845,459.251,1621664.0,484.329
2014-12-02 10:15:00,2014-12-02,2546418000.0,,52850.0,480.688,481.231,482.328,496.844,459.231,1618008.0,483.25
2014-12-02 10:45:00,2014-12-02,565369400.0,,11642.0,481.142,482.066,481.872,496.821,459.219,1620086.0,482.225
2014-12-02 11:00:00,2014-12-02,878654400.0,,18232.0,480.492,481.564,481.423,496.81,459.206,1616544.0,482.213
2014-12-02 11:15:00,2014-12-02,985676400.0,,20470.0,481.205,482.205,482.205,496.796,459.205,1615174.0,482.847
2014-12-02 11:30:00,2014-12-02,2109121200.0,,43820.0,481.131,481.131,482.128,496.793,459.203,1598164.0,483.129
2014-12-02 13:45:00,2014-12-02,4411867800.0,,91780.0,479.569,480.568,481.493,496.809,459.208,1618012.0,482.77
2014-12-02 14:00:00,2014-12-02,1111153000.0,,23146.0,479.567,479.922,479.645,496.8,459.205,1617364.0,481.205
2014-12-02 14:15:00,2014-12-02,5586211800.0,,116812.0,477.627,478.631,479.559,496.793,459.195,1624772.0,480.278
2014-12-02 14:30:00,2014-12-02,8663554800.0,,182032.0,474.726,475.724,478.348,496.786,459.148,1636858.0,478.348
2014-12-02 14:45:00,2014-12-02,8229431200.0,,173454.0,472.764,474.403,476.367,496.735,459.109,1629896.0,477.574
2014-12-02 15:00:00,2014-12-02,7183217200.0,,151612.0,473.035,475.971,474.403,496.689,459.093,1605268.0,476.973
2014-12-03 09:15:00,2014-12-03,9846492200.0,,208134.0,472.454,475.994,474.97,498.32,460.702,1620938.0,476.635
2014-12-03 09:30:00,2014-12-03,3943872200.0,,83084.0,474.978,475.907,475.707,498.275,460.688,1632664.0,477.348
2014-12-03 09:45:00,2014-12-03,3549079800.0,,74732.0,474.986,475.342,475.907,498.275,460.687,1623106.0,477.906
2014-12-03 10:00:00,2014-12-03,3437042200.0,,72642.0,473.764,474.05,475.339,498.272,460.687,1629992.0,475.983
2014-12-03 10:15:00,2014-12-03,2812554200.0,,59484.0,473.051,475.624,473.765,498.27,460.687,1630060.0,475.624
2014-12-03 10:45:00,2014-12-03,1333090000.0,,28076.0,474.696,475.698,475.625,498.27,460.69,1622860.0,476.342
2014-12-03 11:00:00,2014-12-03,2155097400.0,,45336.0,475.698,476.98,475.698,498.274,460.691,1627358.0,477.982
2014-12-03 11:15:00,2014-12-03,2979611000.0,,62614.0,476.051,476.973,477.623,498.268,460.684,1630360.0,478.9
2014-12-03 11:30:00,2014-12-03,1867887400.0,,39270.0,476.042,477.042,476.973,498.263,460.681,1628390.0,477.759
