index,trading_date,total_turnover,low,limit_down,limit_up,high,basis_spread,volume,close,open,open_interest
2015-03-24 23:15:00,2015-03-25,2332000.0,12955.0,12310.0,13885.0,12955.0,,18.0,12955.0,12955.0,235100.0
2015-03-24 23:30:00,2015-03-25,0.0,12955.0,12310.0,13885.0,12955.0,,0.0,12955.0,12955.0,235100.0
2015-03-24 23:45:00,2015-03-25,0.0,12955.0,12310.0,13885.0,12955.0,,0.0,12955.0,12955.0,235100.0
2015-03-25 00:00:00,2015-03-25,0.0,12955.0,12310.0,13885.0,12955.0,,0.0,12955.0,12955.0,235100.0
2015-03-25 00:15:00,2015-03-25,0.0,12955.0,12310.0,13885.0,12955.0,,0.0,12955.0,12955.0,235100.0
2015-03-25 00:30:00,2015-03-25,0.0,12955.0,12310.0,13885.0,12955.0,,0.0,12955.0,12955.0,235100.0
2015-03-25 00:45:00,2015-03-25,0.0,12955.0,12310.0,13885.0,12955.0,,0.0,12955.0,12955.0,235100.0
2015-03-25 01:00:00,2015-03-25,0.0,12955.0,12310.0,13885.0,12955.0,,0.0,12955.0,12955.0,235100.0
2015-03-25 01:15:00,2015-03-25,0.0,12955.0,12310.0,13885.0,12955.0,,0.0,12955.0,12955.0,235100.0
2015-03-25 01:30:00,2015-03-25,0.0,12955.0,12310.0,13885.0,12955.0,,0.0,12955.0,12955.0,235100.0
2015-03-25 01:45:00,2015-03-25,0.0,12955.0,12310.0,13885.0,12955.0,,0.0,12955.0,12955.0,235100.0
2015-03-25 02:00:00,2015-03-25,0.0,12955.0,12310.0,13885.0,12955.0,,0.0,12955.0,12955.0,235100.0
2015-03-25 02:15:00,2015-03-25,0.0,12955.0,12310.0,13885.0,12955.0,,0.0,12955.0,12955.0,235100.0
2015-03-25 02:30:00,2015-03-25,0.0,12955.0,12310.0,13885.0,12955.0,,0.0,12955.0,12955.0,235100.0
2015-03-25 09:15:00,2015-03-25,5242432000.0,12950.0,12310.0,13885.0,13035.0,,40316.0,13005.0,12960.0,238492.0
2015-03-25 09:30:00,2015-03-25,2974111500.0,12945.0,12310.0,13885.0,13005.0,,22938.0,12985.0,13000.0,237586.0
2015-03-25 09:45:00,2015-03-25,4669530100.0,12980.0,12310.0,13885.0,13095.0,,35812.0,13090.0,12985.0,238708.0
2015-03-25 10:00:00,2015-03-25,2219192300.0,13040.0,12310.0,13885.0,13090.0,,16990.0,13075.0,13090.0,238080.0
2015-03-25 10:15:00,2015-03-25,1987519900.0,13000.0,12310.0,13885.0,13085.0,,15244.0,13000.0,13075.0,235876.0
2015-03-25 10:45:00,2015-03-25,2277349000.0,12970.0,12310.0,13885.0,13015.0,,17534.0,13010.0,13000.0,233050.0
2015-03-25 11:00:00,2015-03-25,2034660300.0,12950.0,12310.0,13885.0,13015.0,,15684.0,12955.0,13010.0,234056.0
2015-03-25 11:15:00,2015-03-25,2335304400.0,12920.0,12310.0,13885.0,12970.0,,18038.0,12955.0,12955.0,233320.0
2015-03-25 11:30:00,2015-03-25,1951822000.0,12920.0,12310.0,13885.0,12970.0,,15078.0,12940.0,12955.0,232630.0
2015-03-25 13:45:00,2015-03-25,3323149300.0,12885.0,12310.0,13885.0,12960.0,,25726.0,12960.0,12930.0,232042.0
2015-03-25 14:00:00,2015-03-25,1808874400.0,12945.0,12310.0,13885.0,12985.0,,13952.0,12980.0,12955.0,230382.0
2015-03-25 14:15:00,2015-03-25,2009530900.0,12955.0,12310.0,13885.0,12995.0,,15484.0,12985.0,12980.0,230322.0
2015-03-25 14:30:00,2015-03-25,2076213300.0,12950.0,12310.0,13885.0,13000.0,,16000.0,12995.0,12985.0,229682.0
2015-03-25 14:45:00,2015-03-25,1280188300.0,12955.0,12310.0,13885.0,13000.0,,9866.0,12975.0,12995.0,229860.0
