,open,close,high,low,volume,money
2016-02-19 13:29:00,8.12,8.15,8.16,8.12,3947432.0,32137400.0
2016-02-19 13:59:00,8.14,8.16,8.16,8.13,3024391.0,24639366.0
2016-02-19 14:29:00,8.15,8.11,8.16,8.09,5448197.0,44246817.0
2016-02-19 14:59:00,8.11,8.12,8.13,8.09,5456724.0,44230147.0
2016-02-22 09:59:00,8.13,8.15,8.2,8.13,10692166.0,87320590.0
2016-02-22 10:29:00,8.16,8.16,8.18,8.15,4365528.0,35643689.0
2016-02-22 10:59:00,8.16,8.21,8.22,8.16,6481452.0,53092033.0
2016-02-22 11:29:00,8.21,8.26,8.27,8.2,15826798.0,130545566.0
2016-02-22 13:29:00,8.26,8.32,8.32,8.25,11312517.0,93648453.0
2016-02-22 13:59:00,8.32,8.3,8.34,8.29,12002543.0,99836350.0
2016-02-22 14:29:00,8.3,8.31,8.33,8.27,6462298.0,53620859.0
2016-02-22 14:59:00,8.32,8.32,8.34,8.29,8381779.0,69728642.0
2016-02-23 09:59:00,8.33,8.26,8.33,8.25,13047654.0,108111324.0
2016-02-23 10:29:00,8.26,8.23,8.27,8.22,6982074.0,57588535.0
2016-02-23 10:59:00,8.23,8.23,8.25,8.22,3740240.0,30802757.0
2016-02-23 11:29:00,8.23,8.17,8.23,8.17,9986571.0,81872533.0
2016-02-23 13:29:00,8.17,8.19,8.21,8.17,3419628.0,27999201.0
2016-02-23 13:59:00,8.19,8.17,8.21,8.17,3837599.0,31424069.0
2016-02-23 14:29:00,8.17,8.14,8.18,8.13,7223245.0,58949052.0
2016-02-23 14:59:00,8.13,8.19,8.19,8.13,5257561.0,42945275.0
2016-02-24 09:59:00,8.19,8.21,8.22,8.13,5081624.0,41593633.0
2016-02-24 10:29:00,8.22,8.17,8.22,8.16,3962999.0,32442315.0
2016-02-24 10:59:00,8.17,8.17,8.17,8.13,4249391.0,34640765.0
2016-02-24 11:29:00,8.17,8.16,8.17,8.13,3009809.0,24542145.0
2016-02-24 13:29:00,8.16,8.12,8.17,8.1,4943742.0,40166641.0
2016-02-24 13:59:00,8.12,8.12,8.13,8.1,3917780.0,31794704.0
2016-02-24 14:29:00,8.13,8.16,8.17,8.11,4718016.0,38386576.0
2016-02-24 14:59:00,8.17,8.22,8.22,8.15,7044098.0,57677067.0
2016-02-25 09:59:00,8.22,8.16,8.22,8.13,6986769.0,57110335.0
2016-02-25 10:29:00,8.17,8.12,8.17,8.11,4074935.0,33164514.0
2016-02-25 10:59:00,8.12,8.11,8.13,8.1,4777568.0,38770857.0
2016-02-25 11:29:00,8.1,8.03,8.13,8.03,8197561.0,66291792.0
2016-02-25 13:29:00,8.04,8.01,8.05,8.0,10712063.0,85945445.0
2016-02-25 13:59:00,8.01,8.03,8.07,8.0,8663228.0,69517837.0
2016-02-25 14:29:00,8.03,7.91,8.05,7.89,14821346.0,118191158.0
2016-02-25 14:59:00,7.89,7.83,7.94,7.77,18220212.0,143075940.0
2016-02-26 09:59:00,7.83,7.91,7.95,7.82,13899042.0,109606926.0
2016-02-26 10:29:00,7.91,7.89,7.92,7.84,5165640.0,40713622.0
2016-02-26 10:59:00,7.9,7.89,7.94,7.89,4676505.0,37015532.0
2016-02-26 11:29:00,7.9,7.88,7.91,7.85,3533167.0,27827927.0
2016-02-26 13:29:00,7.88,7.86,7.89,7.83,5467471.0,42995535.0
2016-02-26 13:59:00,7.87,7.88,7.92,7.85,5050613.0,39839190.0
2016-02-26 14:29:00,7.9,7.92,7.95,7.89,5610173.0,44496359.0
2016-02-26 14:59:00,7.93,7.92,7.94,7.92,5678498.0,45027193.0
2016-02-29 09:59:00,7.92,7.79,7.94,7.75,12762874.0,100218175.0
2016-02-29 10:29:00,7.77,7.79,7.81,7.75,9077736.0,70633853.0
